cargo_id,trade_lane,mode_of_transport,stage,estimated_collection_at,actual_collection_at,estimated_delivery_at,actual_delivery_at,actual_lead_time_days,estimated_lead_time_days,lead_time_deviation_days,performance_bucket,is_on_time
Iexvy15lWrws7HMvjKj7Hw==,DE → PL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
86vY7ZsgpgGcZA46SMGxqQ==,NL → GB,Road,l) delivered,2025-11-12 08:00:00,2025-11-11 00:00:00,2025-11-18 08:00:00,2025-11-18 00:00:00,7,6,1,slower_than_estimated,false
hzo0jnjoYUmTxP4uDmprGg==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
gghM6NHYq1rA4zBSYQsL/Q==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
AN1B8FPATMnB84xLZGwuaQ==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
jJ+mtCnT2fAXVZ3n+BDyCw==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
x+diCfww+EsLkn6RvqikgQ==,GB → PL,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-16 08:00:00,2025-11-15 00:00:00,2,3,-1,faster_than_estimated,true
qxweLCJprxS1RPjJsIfqVg==,US → US,Road,l) delivered,2025-11-04 08:00:00,2025-11-04 00:00:00,2025-11-05 08:00:00,2025-11-04 00:00:00,0,1,-1,faster_than_estimated,true
YbEzOJRLOgpKt+9d+fq3yg==,DE → ES,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-21 08:00:00,2025-11-20 00:00:00,7,8,-1,faster_than_estimated,true
s7Sjoh5Hssy/nbOmJ0OfMg==,DE → ES,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-21 08:00:00,2025-11-20 00:00:00,7,8,-1,faster_than_estimated,true
4kayqDSFT1EPrg/oRuQkkg==,DE → ES,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-21 08:00:00,2025-11-20 00:00:00,7,8,-1,faster_than_estimated,true
S+XiGB9NkQvlOmfW9X0jRA==,DE → FR,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-21 08:00:00,2025-11-22 00:00:00,9,8,1,slower_than_estimated,false
HhwiKsZmJZpgfl8x0SgxbQ==,US → US,Road,l) delivered,2025-11-04 08:00:00,2025-11-04 00:00:00,2025-11-07 08:00:00,2025-11-06 00:00:00,2,3,-1,faster_than_estimated,true
sFJAswG4CXQr8q6zUwvfMw==,DE → GB,Road,l) delivered,2025-11-19 12:00:00,2025-11-19 00:00:00,2025-11-22 08:00:00,2025-11-21 00:00:00,2,3,-1,faster_than_estimated,true
AN065wmYnAdbhaKyZaZdlg==,TR → GB,Road,l) delivered,2025-11-11 08:00:00,2025-11-11 00:00:00,2025-11-22 08:00:00,2025-11-21 00:00:00,10,11,-1,faster_than_estimated,true
SHTUvMwP8u6P1cXg/ATOCw==,TR → GB,Road,l) delivered,2025-11-08 12:00:00,2025-11-08 00:00:00,2025-11-18 08:00:00,2025-11-19 00:00:00,11,10,1,slower_than_estimated,false
eXWjO8lTUekLL+pb+yW/cQ==,PL → FR,Road,l) delivered,2025-11-20 14:05:05,2025-11-20 13:20:00,2025-11-21 14:26:05,2025-11-22 07:00:00,2,1,1,slower_than_estimated,false
Xuei6laV2W58mCE/TSoIyg==,PL → GB,Road,l) delivered,2025-11-12 08:00:00,2025-11-13 00:00:00,2025-11-19 08:00:00,2025-11-19 12:00:00,6,7,-1,faster_than_estimated,true
HHEXrEKEbYlh2wS3HTVYRA==,PL → ES,Road,l) delivered,2025-11-15 11:00:00,2025-11-15 20:25:00,2025-11-19 12:00:00,2025-11-18 13:00:00,3,4,-1,faster_than_estimated,true
wbhgSjk0nCeLgMRvtTrO5Q==,DE → NL,Road,l) delivered,2025-11-18 08:00:00,2025-11-18 00:00:00,2025-11-22 08:00:00,2025-11-21 00:00:00,3,4,-1,faster_than_estimated,true
9AbnKVTrGXo4apQQgJXh8A==,ES → GB,Road,l) delivered,2025-11-13 06:00:00,2025-11-14 00:00:00,2025-11-18 09:00:00,2025-11-18 00:00:00,4,5,-1,faster_than_estimated,true
JgFzUdLpu3bbK/aUNWKHsg==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
lriK1R80EbEBE9bZRtb0ew==,US → US,Road,l) delivered,2025-11-07 12:00:00,2025-11-06 00:00:00,2025-11-15 08:00:00,2025-11-15 00:00:00,9,8,1,slower_than_estimated,false
/v9ejb2P/lERdxYu5SfJog==,GB → PL,Road,l) delivered,2025-11-11 12:00:00,2025-11-11 00:00:00,2025-11-16 08:00:00,2025-11-15 00:00:00,4,5,-1,faster_than_estimated,true
dkL4tCSHgcOEqGELhTIPtw==,GB → PL,Road,l) delivered,2025-11-11 12:00:00,2025-11-11 00:00:00,2025-11-14 08:00:00,2025-11-13 00:00:00,2,3,-1,faster_than_estimated,true
oggDPsunZnFhevm2OqnnrA==,US → US,Road,l) delivered,2025-11-18 12:00:00,2025-11-18 00:00:00,2025-11-20 08:00:00,2025-11-19 00:00:00,1,2,-1,faster_than_estimated,true
3o7HUs5rGIf3KfB8HG7v+Q==,NL → GB,Road,l) delivered,2025-11-13 08:00:00,2025-11-12 00:00:00,2025-11-22 08:00:00,2025-11-22 00:00:00,10,9,1,slower_than_estimated,false
DYXFyN9HD8xj91m0TYmvnw==,ES → GB,Road,l) delivered,2025-11-08 07:00:00,2025-11-08 00:00:00,2025-11-13 10:00:00,2025-11-12 00:00:00,4,5,-1,faster_than_estimated,true
xqq/VmHS1kGGIBa30zySwg==,US → US,Road,l) delivered,2025-11-12 12:00:00,2025-11-12 00:00:00,2025-11-20 12:00:00,2025-11-19 00:00:00,7,8,-1,faster_than_estimated,true
VvMzBchsyQY0X2SwlLCYBg==,GB → PL,Road,l) delivered,2025-11-11 12:00:00,2025-11-11 00:00:00,2025-11-16 08:00:00,2025-11-15 00:00:00,4,5,-1,faster_than_estimated,true
OseZv/Lrm0rlDZZ4rR4hAg==,PL → ES,Road,l) delivered,2025-11-08 16:00:00,2025-11-08 00:00:00,2025-11-13 08:00:00,2025-11-12 00:00:00,4,5,-1,faster_than_estimated,true
